"sedentary_category","percent","se"
"<4 h/day",15.961915182228,1.02473100229206
"4 to <6 h/day",16.080779588532,0.85633297494436
"6 to <8 h/day",20.6682977798687,1.73118408791129
"≥8 h/day",18.7546526013534,1.56346343828157
