"variable","mean","se","q25","median","q75"
"age",48.7809328579522,0.549511133766694,33,48,63
"pir",3.03100887181276,0.103077776484738,1.56,3.04,5
"bmi",29.6786828378719,0.268078801480675,24.5,28.3,33.3
"waist_cm",100.450195946656,0.609053121583201,88.1,98.7,111
"sitting_hours_day",6.10288650137643,0.102145257040895,3,5,8
"total_meq_minutes_week",334.74337241704,11.7084294218328,30,150,406.153846153846
"sleep_hours_weekday",7.64723999922589,0.0331894637482853,6.5,8,8.5
