"joint_group","percent","se"
"Low sedentary + Meets guideline",12.9449517449399,0.849048938170148
"High sedentary + Does not meet guideline",23.0406394873934,2.02156412991206
"Low sedentary + Does not meet guideline",22.9993012713087,1.23602852528159
"High sedentary + Meets guideline",13.1110810506894,1.72569336005297
