"model","term","odds_ratio","conf_low","conf_high","p_value","exposure","outcome","n_unweighted"
"Model 5: diabetes","smoking_statusNever",1.06889835635166,0.828777558263022,1.3785890855996,0.607763512273838,"Sedentary time per 60 min/day","diabetes",3064
"Model 5: diabetes","alcohol_ever",0.835140695735416,0.547560338524879,1.27375913228555,0.402881341703575,"Sedentary time per 60 min/day","diabetes",3064
"Model 5: diabetes","sleep_hours_weekday",1.03321930823474,0.956322148392451,1.11629971208299,0.407565725939509,"Sedentary time per 60 min/day","diabetes",3064
"Model 5: ckd","(Intercept)",0.00651541660871516,0.00180896526817618,0.0234668151633008,1.36966150119045e-14,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","sitting_per_60min",1.03864015855678,1.00708204610665,1.0711871819554,0.016027732639051,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","age",1.04898935690412,1.03687214647947,1.06124817281887,7.13186790130754e-16,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","sexMale",1.06508593471721,0.842899139912039,1.34584079472523,0.597333081307958,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","race_ethnicityOther Hispanic",1.06249359289729,0.519083906269646,2.17477872327132,0.86826104053971,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","race_ethnicityNon-Hispanic White",1.14560451176282,0.663322234605036,1.97854018590646,0.625846307395711,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","race_ethnicityNon-Hispanic Black",1.68770739553822,0.92556942162038,3.07740963175709,0.0877036088785967,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","race_ethnicityNon-Hispanic Asian",1.81469422860111,0.744019062263127,4.4261166283849,0.190198133543294,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","race_ethnicityOther/Multi-racial",1.32301377938841,0.664569956034424,2.63383176527611,0.425559221099305,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","education9th-11th grade",2.80521196204063,1.30288771516952,6.03982527454557,0.00838377691915262,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","educationHigh school/GED",1.29566664114822,0.640629915586563,2.62047088988536,0.471024227044044,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","educationSome college/AA",1.061635157816,0.521687115101243,2.16043136908274,0.868948271989143,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","educationCollege graduate or above",0.773234240380032,0.354614371882304,1.68603203339577,0.517889345703332,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","pir",0.914388126757618,0.823021254596017,1.01589799982227,0.0956466281698256,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","meets_pa_guidelineMeets guideline",0.721370109820723,0.611133595757745,0.851491128871011,0.000113353661278886,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","smoking_statusFormer",1.48367501458902,0.949173858911502,2.31916579691747,0.0834314411828336,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","smoking_statusNever",1.12974280585018,0.813727719580458,1.56848387569774,0.466185664595365,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","alcohol_ever",0.760959059175071,0.549848478659415,1.05312411003193,0.0993978020447768,"Sedentary time per 60 min/day","ckd",3045
"Model 5: ckd","sleep_hours_weekday",1.06497781191896,1.00563038920204,1.12782763136232,0.0314036003308345,"Sedentary time per 60 min/day","ckd",3045
