"model","term","odds_ratio","conf_low","conf_high","p_value","exposure","n_unweighted"
"Model 5","race_ethnicityNon-Hispanic Black",1.54567757831835,0.847065621534313,2.82046528082277,0.155868177523247,"Sedentary time per 60 min/day",3064
"Model 5","race_ethnicityNon-Hispanic Asian",1.18680540892691,0.596122088972934,2.36278290087339,0.625904621182477,"Sedentary time per 60 min/day",3064
"Model 5","race_ethnicityOther/Multi-racial",0.686898683784694,0.409327800349911,1.15269424989411,0.155033678775753,"Sedentary time per 60 min/day",3064
"Model 5","education9th-11th grade",2.21423617840602,1.33201142593114,3.68078062869076,0.00217194288435009,"Sedentary time per 60 min/day",3064
"Model 5","educationHigh school/GED",1.21792256482608,0.599489018983186,2.47433285171507,0.585658312745883,"Sedentary time per 60 min/day",3064
"Model 5","educationSome college/AA",1.26368753277218,0.687076951186682,2.32420280978099,0.451576700135157,"Sedentary time per 60 min/day",3064
"Model 5","educationCollege graduate or above",0.676616365139378,0.354886652559968,1.29001669201144,0.23541262256647,"Sedentary time per 60 min/day",3064
"Model 5","pir",0.875807905558334,0.8272502374894,0.927215795992208,5.19611674866712e-06,"Sedentary time per 60 min/day",3064
"Model 5","meets_pa_guidelineMeets guideline",0.65682855992524,0.540945928476875,0.797535824603044,2.1919225955749e-05,"Sedentary time per 60 min/day",3064
"Model 5","smoking_statusFormer",1.45633780613259,0.941909593714568,2.25172332857011,0.0908700065937845,"Sedentary time per 60 min/day",3064
"Model 5","smoking_statusNever",1.10445396914372,0.759189798473302,1.60673730391308,0.603428553418973,"Sedentary time per 60 min/day",3064
"Model 5","alcohol_ever",0.73596884899993,0.500471092009775,1.08228058592384,0.11920353654854,"Sedentary time per 60 min/day",3064
"Model 5","sleep_hours_weekday",1.05851616791859,0.974582688986929,1.149678206279,0.177278006108167,"Sedentary time per 60 min/day",3064
"Model 6","(Intercept)",0.00018064612922381,5.75155991501981e-05,0.000567376928793292,2.63223605514488e-49,"Sedentary time per 60 min/day",3037
"Model 6","sitting_per_60min",1.03918199639896,1.00394901237055,1.07565146071496,0.0289655006863796,"Sedentary time per 60 min/day",3037
"Model 6","age",1.0774447030799,1.07033279683405,1.08460386491821,5.37066296047837e-108,"Sedentary time per 60 min/day",3037
"Model 6","sexMale",1.18624997730944,0.937777783940419,1.50055698990206,0.154364908415083,"Sedentary time per 60 min/day",3037
"Model 6","race_ethnicityOther Hispanic",0.85424086151612,0.509306324859167,1.43278693757747,0.550461094592432,"Sedentary time per 60 min/day",3037
"Model 6","race_ethnicityNon-Hispanic White",0.565643281692448,0.410569572735042,0.779288927799531,0.000491368062324562,"Sedentary time per 60 min/day",3037
"Model 6","race_ethnicityNon-Hispanic Black",1.57945686676553,0.93591314192415,2.66550802870866,0.0869086852172475,"Sedentary time per 60 min/day",3037
"Model 6","race_ethnicityNon-Hispanic Asian",2.1731115029352,1.03841321580959,4.54772101538354,0.0393942412149045,"Sedentary time per 60 min/day",3037
"Model 6","race_ethnicityOther/Multi-racial",0.731250043219185,0.480092947382307,1.11379812726607,0.144847989705707,"Sedentary time per 60 min/day",3037
"Model 6","education9th-11th grade",1.87148424865032,1.16670374573508,3.00200741254974,0.00933583534804824,"Sedentary time per 60 min/day",3037
"Model 6","educationHigh school/GED",1.11153026613992,0.561960640821881,2.1985517183875,0.761240406615323,"Sedentary time per 60 min/day",3037
"Model 6","educationSome college/AA",1.07256310793955,0.596297772210702,1.92922340837867,0.815081708225835,"Sedentary time per 60 min/day",3037
"Model 6","educationCollege graduate or above",0.685808681752345,0.356311604796357,1.32000625754443,0.258920038217572,"Sedentary time per 60 min/day",3037
"Model 6","pir",0.895021108051312,0.833291898770043,0.961323139034213,0.00235140116263134,"Sedentary time per 60 min/day",3037
"Model 6","meets_pa_guidelineMeets guideline",0.805839187362037,0.640322772964736,1.01413977966401,0.0657238327047619,"Sedentary time per 60 min/day",3037
"Model 6","smoking_statusFormer",1.10357056446649,0.696441421791935,1.74870125849685,0.674764305259865,"Sedentary time per 60 min/day",3037
"Model 6","smoking_statusNever",0.862676227093617,0.587624770635108,1.26647192218962,0.450811555686934,"Sedentary time per 60 min/day",3037
"Model 6","alcohol_ever",0.761739440234081,0.497857431920229,1.16548822535425,0.209755908600442,"Sedentary time per 60 min/day",3037
"Model 6","sleep_hours_weekday",1.07752705311863,0.983894827553685,1.18006977746731,0.107413148909575,"Sedentary time per 60 min/day",3037
"Model 6","bmi",1.10496997359082,1.08663921227878,1.12360996063895,1.34848960776615e-31,"Sedentary time per 60 min/day",3037
